naming_system,clade,color
gisaid,GR,#4770EB
gisaid,G,#5DAECE
gisaid,GH,#85CE92
gisaid,O,#BCD760
gisaid,S,#F0C947
gisaid,L,#FF923A
gisaid,V,#F93529
old_nextstrain,A2,#494BE1
old_nextstrain,B,#4B83E9
old_nextstrain,A1a,#5CADCF
old_nextstrain,A3,#77C7A4
old_nextstrain,B4,#9AD47A
old_nextstrain,B1,#C4D65C
old_nextstrain,A2a,#E9CD4A
old_nextstrain,A6,#FFB041
old_nextstrain,B2,#FF7A35
old_nextstrain,A7,#F93529
new_nextstrain,19A,#4C87E8
new_nextstrain,19B,#6EC2B2
new_nextstrain,20A,#A8D66E
new_nextstrain,20B,#E8CE4B
new_nextstrain,20C,#FF923A
